double  0.28680239 2000 557.875407
double  0.28878057 2000 554.053896
double  0.28626159 2000 558.929335
double  0.28717982 2000 557.142211
double  0.28764167 2000 556.247640
double  0.164290290 4000 779.108735
double  0.163828287 4000 781.305856
double  0.163504102 4000 782.854977
double  0.164242977 4000 779.333171
double  0.172833415 4000 740.597529
double  0.487293288 6000 886.529757
double  0.486635483 6000 887.728115
double  0.486687442 6000 887.633341
double  0.486566303 6000 887.854332
double  0.486516846 6000 887.944587
double  1.162908298 8000 880.550944
double  1.180819838 8000 867.194103
double  1.186538910 8000 863.014261
double  1.165187192 8000 878.828747
double  1.165044621 8000 878.936293
double  2.122503760 10000 942.283372
double  2.123287643 10000 941.935496
double  2.142834333 10000 933.343268
double  2.121343786 10000 942.798623
double  2.124067619 10000 941.589610
double  3.697538179 12000 934.675947
double  3.702284147 12000 933.477784
double  3.699961279 12000 934.063829
double  3.714687005 12000 930.361022
double  3.701360020 12000 933.710847
double  5.956857925 14000 921.291068
double  5.955337830 14000 921.526227
double  5.943462782 14000 923.367438
double  5.952825861 14000 921.915092
double  5.956182387 14000 921.395559
double  8.977775363 16000 912.475493
double  8.946733719 16000 915.641424
double  8.905736477 16000 919.856547
double  8.969569287 16000 913.310298
double  8.980489403 16000 912.199729
double  12.417758002 18000 939.299993
double  12.482987788 18000 934.391686
double  12.500417332 18000 933.088847
double  12.478100944 18000 934.757625
double  12.482723732 18000 934.411451
double  16.938490383 20000 944.594213
double  17.979409 20000 941.122250
double  16.736373371 20000 956.001617
double  16.736598884 20000 955.988735
double  16.752877074 20000 955.059834
