double  0.24986282 2000 640.351374
double  0.21842132 2000 732.529224
double  0.25524772 2000 626.842034
double  0.21454486 2000 745.764779
double  0.26282033 2000 608.780911
double  0.94042286 4000 1361.089840
double  0.101378868 4000 1262.590543
double  0.96566148 4000 1325.516267
double  0.92467885 4000 1384.264385
double  0.94352257 4000 1356.618316
double  0.280279708 6000 1541.317433
double  0.280529062 6000 1539.947401
double  0.281705430 6000 1533.516766
double  0.281094279 6000 1536.850915
double  0.283512376 6000 1523.743006
double  0.647658992 8000 1581.078951
double  0.648462481 8000 1579.119887
double  0.647842835 8000 1580.630277
double  0.646754017 8000 1583.291287
double  0.647914626 8000 1580.455139
double  1.279252150 10000 1563.413437
double  1.284055970 10000 1557.564504
double  1.283422793 10000 1558.332929
double  1.285034146 10000 1556.378876
double  1.287615601 10000 1553.258596
double  2.171030294 12000 1591.870924
double  2.171454448 12000 1591.559981
double  2.168468893 12000 1593.751246
double  2.171336357 12000 1591.646540
double  2.175653974 12000 1588.487894
double  3.460878878 14000 1585.724376
double  3.447588541 14000 1591.837290
double  3.446218929 14000 1592.469925
double  3.442721079 14000 1594.087896
double  3.450807681 14000 1590.352320
double  5.112168841 16000 1602.450986
double  5.84165857 16000 1611.277096
double  5.110794282 16000 1602.881969
double  5.109728144 16000 1603.216408
double  5.103690807 16000 1605.112909
double  7.197096430 18000 1620.653567
double  7.300971969 18000 1597.595505
double  7.285868905 18000 1600.907202
double  7.214857592 18000 1616.663926
double  7.258229753 18000 1607.003415
double  10.33098587 20000 1594.721697
double  10.69625952 20000 1588.936876
double  10.32682136 20000 1594.787893
double  10.9888072 20000 1598.419471
double  10.14023040 20000 1597.759456
