double  0.168896418 2000 94.732619
double  0.119167365 2000 134.264947
double  0.119888448 2000 133.457395
double  0.119108333 2000 134.331491
double  0.127769811 2000 125.225199
double  0.808050733 4000 158.405896
double  0.819579816 4000 156.177589
double  0.804681888 4000 159.069071
double  0.793936638 4000 161.221934
double  0.786087460 4000 162.831754
double  2.50132894 6000 210.718047
double  2.27579428 6000 213.061937
double  2.47271289 6000 211.012582
double  2.44717271 6000 211.276153
double  2.32466536 6000 212.549625
double  3.856604844 8000 265.518517
double  3.866257263 8000 264.855629
double  3.862307056 8000 265.126513
double  3.869149433 8000 264.657651
double  3.864782199 8000 264.956716
double  6.17214503 10000 332.379708
double  6.41851632 10000 331.024348
double  6.47027765 10000 330.740998
double  4.457302774 10000 448.701850
double  5.988328564 10000 333.983010
double  7.696546477 12000 449.032564
double  7.741609257 12000 446.418811
double  8.87334902 12000 427.334844
double  7.904338909 12000 437.228216
double  9.323101885 12000 370.692077
double  13.286899128 14000 413.038433
double  13.251550360 14000 414.140221
double  13.124277053 14000 418.156366
double  13.250027742 14000 414.187812
double  13.212279396 14000 415.371174
double  11.605532144 16000 705.870261
double  12.381878363 16000 661.612056
double  12.429187710 16000 659.093755
double  12.693549664 16000 645.367152
double  11.339834012 16000 722.409163
double  20.992000120 18000 555.640241
double  18.538117554 18000 629.190098
double  20.716690273 18000 563.024298
double  20.327272092 18000 573.810394
double  21.111375341 18000 552.498348
double  22.441828557 20000 712.954382
double  23.766347298 20000 673.220828
double  21.704792191 20000 737.164395
double  25.760565454 20000 621.104379
double  25.470802356 20000 628.170239
