N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  

1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 1, 2, ,0 , 1.76916,0.000304601 ,0.0169903 ,0.000310933, 
 , ,100 , 50, S, 1, 2, ,1 , 1.76945,0.00030424 ,0.0170805 ,0.000221024, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 1, 2, ,0 , 1.76828,0.000294552 ,0.0169916 ,0.000322875, 
 , ,100 , 50, S, 1, 2, ,1 , 1.76797,0.000294222 ,0.0170899 ,0.000225163, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 2, 2, ,0 , 0.950713,0.000296015 ,0.00849623 ,0.000258244, 
 , ,100 , 50, S, 2, 2, ,1 , 0.950454,0.000295464 ,0.00852334 ,0.000231664, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 2, 2, ,0 , 0.958295,0.000300083 ,0.00849859 ,0.000278623, 
 , ,100 , 50, S, 2, 2, ,1 , 0.968089,0.000299823 ,0.00853855 ,0.000238968, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 4, 2, ,0 , 0.539399,0.000296035 ,0.0042576 ,0.000269946, 
 , ,100 , 50, S, 4, 2, ,1 , 0.528626,0.000295484 ,0.0043083 ,0.000219903, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 4, 2, ,0 , 0.523924,0.000294332 ,0.00425575 ,0.0002722, 
 , ,100 , 50, S, 4, 2, ,1 , 0.523613,0.000294122 ,0.0043046 ,0.000223499, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 8, 2, ,0 , 0.321055,0.000330259 ,0.00220693 ,0.000223409, 
 , ,100 , 50, S, 8, 2, ,1 , 0.331837,0.000329939 ,0.0021661 ,0.000264426, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 8, 2, ,1 , 0.314821,0.000330049 ,0.0022121 ,0.000223569, 
 , ,100 , 50, S, 8, 2, ,0 , 0.315171,0.000330219 ,0.00219842 ,0.000236664, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 16, 2, ,0 , 0.199686,0.000255279 ,0.00108788 ,0.000210555, 
 , ,100 , 50, S, 16, 2, ,1 , 0.199346,0.000254608 ,0.00109261 ,0.000206527, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 16, 2, ,0 , 0.195414,0.000260508 ,0.0010897 ,0.000204313, 
 , ,100 , 50, S, 16, 2, ,1 , 0.195095,0.000260118 ,0.00109043 ,0.000204243, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 32, 2, ,1 , 0.13776,0.000264877 ,0.000551755 ,0.00020815, 
 , ,100 , 50, S, 32, 2, ,0 , 0.138105,0.000265618 ,0.00054926 ,0.000209924, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 32, 2, ,0 , 0.144759,0.00026098 ,0.000557916 ,0.000206858, 
 , ,100 , 50, S, 32, 2, ,1 , 0.155107,0.000260318 ,0.000555171 ,0.000210305, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 64, 2, ,0 , 0.108021,0.00026125 ,0.000287249 ,0.000201839, 
 , ,100 , 50, S, 64, 2, ,1 , 0.10775,0.000260659 ,0.000291296 ,0.000198482, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 64, 2, ,1 , 0.107617,0.000264346 ,0.000290846 ,0.000200826, 
 , ,100 , 50, S, 64, 2, ,0 , 0.108232,0.000265037 ,0.000289813 ,0.000201087,
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 65, 2, ,1 , 0.141247,0.000310512 ,0.000749826 ,0.000232055,
 , ,100 , 50, S, 65, 2, ,0 , 0.141618,0.000310983 ,0.000755736 ,0.000225463,
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 65, 2, ,0 , 0.148702,0.00029872 ,0.000748734 ,0.000234028,
 , ,100 , 50, S, 65, 2, ,0 , 0.148702,0.00029872 ,0.000748734 ,0.000234028, 
