N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity 
 , ,100 , 50, S, 5, 8, ,7 , 0.266989,0.000461204 ,0.00196081 ,8.546e-05, 
 , ,100 , 50, S, 5, 8, ,0 , 0.2775,0.000336141 ,0.00196661 ,0.000219972, 
2, 1000x1000, , , , , ,L3cache, , , , , , cores close
 , ,100 , 50, S, 5, 8, ,1 , 0.261202,0.000189706 ,0.00195989 ,0.000388288, 
 , ,100 , 50, S, 5, 8, ,2 , 0.26112,0.000216727 ,0.00195802 ,0.000367699, 
 , ,100 , 50, S, 5, 8, ,3 , 0.261124,0.0002346 ,0.0019618 ,0.000342933, 
 , ,100 , 50, S, 5, 8, ,4 , 0.261172,0.000258695 ,0.00196047 ,0.00032006, 
 , ,100 , 50, S, 5, 8, ,5 , 0.261216,0.00027726 ,0.0019616 ,0.000302247, 
 , ,100 , 50, S, 5, 8, ,6 , 0.261142,0.000316644 ,0.0019454 ,0.000274725, 
 , ,100 , 50, S, 5, 8, ,7 , 0.261227,0.000474008 ,0.00195048 ,0.000114806, 
 , ,100 , 50, S, 5, 8, ,0 , 0.259318,0.000345858 ,0.00198949 ,0.000203702, 
1, 1000x1000, , , , , ,L3cache, , , , , , cores close
 , ,100 , 50, S, 8, 8, ,6 , 0.349292,0.000374131 ,0.00271774 ,0.000286137, 
 , ,100 , 50, S, 8, 8, ,7 , 0.347844,0.000561934 ,0.00272799 ,8.9227e-05, 
 , ,100 , 50, S, 8, 8, ,1 , 0.349197,0.000241292 ,0.00270557 ,0.000430076, 
 , ,100 , 50, S, 8, 8, ,2 , 0.3493,0.000258965 ,0.00273129 ,0.000378811, 
 , ,100 , 50, S, 8, 8, ,3 , 0.349386,0.000290084 ,0.00271665 ,0.00036811, 
 , ,100 , 50, S, 8, 8, ,4 , 0.34933,0.000321543 ,0.00270533 ,0.000356859, 
 , ,100 , 50, S, 8, 8, ,5 , 0.348823,0.000338515 ,0.00247389 ,0.000556613, 
 , ,100 , 50, S, 8, 8, ,0 , 0.349438,0.000410299 ,0.00271278 ,0.000251772, 
2, 1000x1000, , , , , ,L3cache, , , , , , cores close
 , ,100 , 50, S, 8, 8, ,4 , 0.343572,0.000308248 ,0.00270051 ,0.00034654, 
 , ,100 , 50, S, 8, 8, ,5 , 0.341747,0.000333355 ,0.00272882 ,0.000291276, 
 , ,100 , 50, S, 8, 8, ,6 , 0.343591,0.000362069 ,0.00270412 ,0.000294212, 
 , ,100 , 50, S, 8, 8, ,7 , 0.343576,0.000551274 ,0.00271259 ,9.5339e-05, 
 , ,100 , 50, S, 8, 8, ,1 , 0.343485,0.00024568 ,0.00270496 ,0.000409608, 
 , ,100 , 50, S, 8, 8, ,2 , 0.343566,0.000259286 ,0.00271626 ,0.00037846, 
 , ,100 , 50, S, 8, 8, ,3 , 0.343567,0.000289443 ,0.00271756 ,0.000350858, 
 , ,100 , 50, S, 8, 8, ,0 , 0.343721,0.00040529 ,0.00271611 ,0.000239168, 
