N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity
 , ,100 , 50, S, 8, 8, ,1 , 0.160949,0.000286487 ,0.000548909 ,0.000435446, 
 , ,100 , 50, S, 8, 8, ,2 , 0.161263,0.000311835 ,0.000541365 ,0.000425207, 
 , ,100 , 50, S, 8, 8, ,3 , 0.161277,0.000330189 ,0.000542727 ,0.000404007, 
 , ,100 , 50, S, 8, 8, ,4 , 0.161019,0.000352631 ,0.000548809 ,0.00037322, 
 , ,100 , 50, S, 8, 8, ,5 , 0.159379,0.000396463 ,0.000542928 ,0.000332092, 
 , ,100 , 50, S, 8, 8, ,0 , 0.161403,0.000428102 ,0.000536706 ,0.000316714, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 8, ,2 , 0.173999,0.000294071 ,0.000535754 ,0.000418365, 
 , ,100 , 50, S, 8, 8, ,3 , 0.17429,0.000313828 ,0.000539141 ,0.000389029, 
 , ,100 , 50, S, 8, 8, ,4 , 0.174003,0.000338725 ,0.000537678 ,0.000364854, 
 , ,100 , 50, S, 8, 8, ,5 , 0.173975,0.000373731 ,0.000539161 ,0.000329177, 
 , ,100 , 50, S, 8, 8, ,6 , 0.174023,0.000413635 ,0.000540363 ,0.000287369, 
 , ,100 , 50, S, 8, 8, ,7 , 0.174431,0.000611276 ,0.000543108 ,8.9258e-05, 
 , ,100 , 50, S, 8, 8, ,1 , 0.173983,0.000273262 ,0.000545833 ,0.000424946, 
 , ,100 , 50, S, 8, 8, ,0 , 0.174206,0.000420429 ,0.000543689 ,0.000284373, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 16, 8, ,1 , 0.136293,0.000270647 ,0.000273162 ,0.000432301, 
 , ,100 , 50, S, 16, 8, ,2 , 0.137243,0.000290354 ,0.000272891 ,0.000408846, 
 , ,100 , 50, S, 16, 8, ,3 , 0.136899,0.000313638 ,0.000274014 ,0.000387496, 
 , ,100 , 50, S, 16, 8, ,4 , 0.135686,0.000339256 ,0.000273623 ,0.000362299, 
 , ,100 , 50, S, 16, 8, ,5 , 0.136702,0.000375664 ,0.000273503 ,0.000323587, 
 , ,100 , 50, S, 16, 8, ,6 , 0.137403,0.000409388 ,0.00027238 ,0.000285616, 
 , ,100 , 50, S, 16, 8, ,7 , 0.124445,0.000600676 ,0.000281357 ,9.0821e-05, 
 , ,100 , 50, S, 16, 8, ,0 , 0.137328,0.000414858 ,0.000277941 ,0.000286107, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 16, 8, ,1 , 0.439789,0.000272721 ,0.000272652 ,0.00042147, 
 , ,100 , 50, S, 16, 8, ,2 , 0.439837,0.000289804 ,0.000272931 ,0.000401383, 
 , ,100 , 50, S, 16, 8, ,3 , 0.439702,0.000312385 ,0.000274305 ,0.000380944, 
 , ,100 , 50, S, 16, 8, ,4 , 0.439701,0.000332273 ,0.000273863 ,0.00035232, 
 , ,100 , 50, S, 16, 8, ,5 , 0.439517,0.000370334 ,0.00027212 ,0.000323015, 
 , ,100 , 50, S, 16, 8, ,6 , 0.439786,0.000407103 ,0.000273333 ,0.0002832, 
 , ,100 , 50, S, 16, 8, ,7 , 0.439708,0.000599163 ,0.000279845 ,8.6983e-05, 
 , ,100 , 50, S, 16, 8, ,0 , 0.438051,0.000411661 ,0.000281116 ,0.0002774, 
