N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  
 , ,100 , 50, S, 8, 8, ,3 , 0.183796,0.000199684 ,0.000546181 ,0.000148468, 
2, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 8, 8, ,4 , 0.207528,0.000190988 ,0.000541475 ,0.00015995, 
 , ,100 , 50, S, 8, 8, ,6 , 0.207573,0.0002241 ,0.0005389 ,0.000128581, 
 , ,100 , 50, S, 8, 8, ,2 , 0.20369,0.000160441 ,0.00053912 ,0.000193754, 
 , ,100 , 50, S, 8, 8, ,0 , 0.207625,0.000231494 ,0.000539491 ,0.000136907, 
 , ,100 , 50, S, 8, 8, ,5 , 0.20289,0.000243846 ,0.000540971 ,0.000107171, 
 , ,100 , 50, S, 8, 8, ,7 , 0.20684,0.000336068 ,0.000543267 ,1.1251e-05, 
 , ,100 , 50, S, 8, 8, ,1 , 0.185048,0.000174547 ,0.000551872 ,0.000164127, 
 , ,100 , 50, S, 8, 8, ,3 , 0.207098,0.000205455 ,0.000547564 ,0.000138058, 
1, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 16, 8, ,4 , 0.133679,0.000194865 ,0.000277089 ,0.00015998, 
 , ,100 , 50, S, 16, 8, ,6 , 0.142902,0.000231023 ,0.000276098 ,0.000126437, 
 , ,100 , 50, S, 16, 8, ,2 , 0.143019,0.000164849 ,0.000279785 ,0.000185097, 
 , ,100 , 50, S, 16, 8, ,0 , 0.143127,0.000242705 ,0.000274505 ,0.000114384, 
 , ,100 , 50, S, 16, 8, ,7 , 0.142755,0.000340126 ,0.00027808 ,1.3325e-05, 
 , ,100 , 50, S, 16, 8, ,1 , 0.142765,0.00017682 ,0.000278221 ,0.000176319, 
 , ,100 , 50, S, 16, 8, ,3 , 0.142763,0.000212578 ,0.000279042 ,0.000138749, 
 , ,100 , 50, S, 16, 8, ,5 , 0.142825,0.000244217 ,0.000277789 ,0.000109104, 
2, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 16, 8, ,6 , 0.140242,0.000222537 ,0.000274625 ,0.000129102, 
 , ,100 , 50, S, 16, 8, ,2 , 0.148298,0.000157566 ,0.000274494 ,0.000192291, 
 , ,100 , 50, S, 16, 8, ,4 , 0.143658,0.000188493 ,0.000276198 ,0.000161423, 
 , ,100 , 50, S, 16, 8, ,0 , 0.134222,0.000233558 ,0.000280426 ,0.000111289, 
 , ,100 , 50, S, 16, 8, ,1 , 0.145984,0.000173765 ,0.000274223 ,0.000178955, 
 , ,100 , 50, S, 16, 8, ,3 , 0.143906,0.000204923 ,0.000275275 ,0.000146675, 
 , ,100 , 50, S, 16, 8, ,5 , 0.153922,0.000237394 ,0.000276557 ,0.000114023, 
 , ,100 , 50, S, 16, 8, ,7 , 0.143902,0.000331069 ,0.000274543 ,2.1571e-05, 
1, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 17, 8, ,4 , 0.157594,0.000193543 ,0.00063476 ,0.000148468, 
 , ,100 , 50, S, 17, 8, ,6 , 0.157511,0.00022423 ,0.000632576 ,0.000118261, 
 , ,100 , 50, S, 17, 8, ,2 , 0.157596,0.000160791 ,0.000633067 ,0.000181801, 
 , ,100 , 50, S, 17, 8, ,0 , 0.157665,0.000237024 ,0.00062436 ,0.000113443, 
 , ,100 , 50, S, 17, 8, ,1 , 0.157392,0.00017074 ,0.000602026 ,0.000196507, 
 , ,100 , 50, S, 17, 8, ,3 , 0.15739,0.000200024 ,0.000606214 ,0.00016063, 
 , ,100 , 50, S, 17, 8, ,5 , 0.15744,0.000231312 ,0.00060938 ,0.000126146, 
 , ,100 , 50, S, 17, 8, ,7 , 0.157403,0.000323645 ,0.000608268 ,3.3243e-05, 
2, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 17, 8, ,2 , 0.169337,0.000162034 ,0.000626184 ,0.000183284, 
 , ,100 , 50, S, 17, 8, ,4 , 0.16936,0.000190858 ,0.0006404 ,0.00013876, 
 , ,100 , 50, S, 17, 8, ,6 , 0.169351,0.000224972 ,0.000628658 ,0.000118743, 
 , ,100 , 50, S, 17, 8, ,0 , 0.169442,0.000237786 ,0.000619401 ,0.000115286, 
 , ,100 , 50, S, 17, 8, ,1 , 0.168524,0.00017642 ,0.000616784 ,0.000177752, 
 , ,100 , 50, S, 17, 8, ,3 , 0.169202,0.000207298 ,0.000626362 ,0.000137817, 
 , ,100 , 50, S, 17, 8, ,5 , 0.169068,0.000240249 ,0.000633986 ,9.6691e-05, 
 , ,100 , 50, S, 17, 8, ,7 , 0.169163,0.000334867 ,0.000614619 ,2.1721e-05, 
