N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  
 , ,5000 , 2500, S, 1, 12, ,9 , 0.33746,1.5619e-05 ,2.8043e-05 ,7.985e-06, 
 , ,5000 , 2500, S, 1, 12, ,11 , 0.337412,1.8515e-05 ,2.8152e-05 ,4.769e-06, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 12, ,0 , 0.325447,8.345e-06 ,3.202e-05 ,1.1541e-05, 
 , ,5000 , 2500, S, 1, 12, ,2 , 0.325865,9.418e-06 ,3.1298e-05 ,1.1551e-05, 
 , ,5000 , 2500, S, 1, 12, ,4 , 0.325217,1.1993e-05 ,2.7642e-05 ,1.2503e-05, 
 , ,5000 , 2500, S, 1, 12, ,6 , 0.32569,1.3065e-05 ,2.7852e-05 ,1.1462e-05, 
 , ,5000 , 2500, S, 1, 12, ,8 , 0.325827,1.2023e-05 ,2.7642e-05 ,1.2052e-05, 
 , ,5000 , 2500, S, 1, 12, ,10 , 0.325657,1.2935e-05 ,2.7201e-05 ,1.2303e-05, 
 , ,5000 , 2500, S, 1, 12, ,3 , 0.325648,1.3776e-05 ,3.171e-05 ,7.193e-06, 
 , ,5000 , 2500, S, 1, 12, ,5 , 0.325596,1.5639e-05 ,2.7973e-05 ,8.095e-06, 
 , ,5000 , 2500, S, 1, 12, ,7 , 0.325645,1.6431e-05 ,2.6901e-05 ,9.358e-06, 
 , ,5000 , 2500, S, 1, 12, ,9 , 0.325588,1.602e-05 ,2.8213e-05 ,7.825e-06, 
 , ,5000 , 2500, S, 1, 12, ,11 , 0.325602,1.8996e-05 ,2.8163e-05 ,5.069e-06, 
 , ,5000 , 2500, S, 1, 12, ,1 , 0.325685,1.2523e-05 ,3.1419e-05 ,8.126e-06, 
1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 15, ,0 , 0.304634,1.3335e-05 ,2.4586e-05 ,1.1572e-05, 
 , ,5000 , 2500, S, 1, 15, ,2 , 0.306327,1.1342e-05 ,2.4395e-05 ,1.3805e-05, 
 , ,5000 , 2500, S, 1, 15, ,4 , 0.306346,1.3375e-05 ,2.4917e-05 ,1.2854e-05, 
 , ,5000 , 2500, S, 1, 15, ,6 , 0.306294,1.2082e-05 ,2.4937e-05 ,1.1822e-05, 
 , ,5000 , 2500, S, 1, 15, ,8 , 0.306378,1.6401e-05 ,2.4175e-05 ,9.478e-06, 
 , ,5000 , 2500, S, 1, 15, ,10 , 0.306302,1.5268e-05 ,2.0739e-05 ,1.2965e-05, 
 , ,5000 , 2500, S, 1, 15, ,12 , 0.306379,1.7483e-05 ,2.15e-05 ,1.1342e-05, 
 , ,5000 , 2500, S, 1, 15, ,14 , 0.306332,2.0729e-05 ,2.132e-05 ,7.644e-06, 
 , ,5000 , 2500, S, 1, 15, ,1 , 0.306078,1.3205e-05 ,2.4907e-05 ,1.2043e-05, 
 , ,5000 , 2500, S, 1, 15, ,3 , 0.306244,1.4367e-05 ,2.4095e-05 ,1.2093e-05, 
 , ,5000 , 2500, S, 1, 15, ,5 , 0.306174,1.5018e-05 ,2.3985e-05 ,1.0761e-05, 
 , ,5000 , 2500, S, 1, 15, ,7 , 0.306229,1.7884e-05 ,2.4266e-05 ,8.526e-06, 
 , ,5000 , 2500, S, 1, 15, ,9 , 0.306064,1.7373e-05 ,2.3353e-05 ,9.418e-06, 
 , ,5000 , 2500, S, 1, 15, ,11 , 0.306109,1.8124e-05 ,2.0859e-05 ,1.1562e-05, 
 , ,5000 , 2500, S, 1, 15, ,13 , 0.306169,1.9066e-05 ,2.0098e-05 ,1.095e-05, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 15, ,14 , 0.337652,2.0699e-05 ,2.133e-05 ,7.524e-06, 
 , ,5000 , 2500, S, 1, 15, ,0 , 0.337525,1.3135e-05 ,2.4506e-05 ,1.2082e-05, 
 , ,5000 , 2500, S, 1, 15, ,2 , 0.337671,1.1331e-05 ,2.4385e-05 ,1.3215e-05, 
 , ,5000 , 2500, S, 1, 15, ,4 , 0.337634,1.3164e-05 ,2.4857e-05 ,1.2383e-05, 
 , ,5000 , 2500, S, 1, 15, ,6 , 0.337645,1.3585e-05 ,2.4897e-05 ,1.1602e-05, 
 , ,5000 , 2500, S, 1, 15, ,8 , 0.337696,1.6771e-05 ,2.4145e-05 ,9.388e-06, 
 , ,5000 , 2500, S, 1, 15, ,10 , 0.337786,1.5169e-05 ,2.0809e-05 ,1.2403e-05, 
 , ,5000 , 2500, S, 1, 15, ,12 , 0.33741,1.7483e-05 ,2.1501e-05 ,1.2122e-05, 
 , ,5000 , 2500, S, 1, 15, ,7 , 0.33754,1.7773e-05 ,2.4156e-05 ,8.285e-06, 
 , ,5000 , 2500, S, 1, 15, ,9 , 0.337606,1.7974e-05 ,2.3324e-05 ,9.267e-06, 
 , ,5000 , 2500, S, 1, 15, ,11 , 0.33746,1.8465e-05 ,2.0839e-05 ,1.0981e-05, 
 , ,5000 , 2500, S, 1, 15, ,13 , 0.337596,1.9677e-05 ,2.0148e-05 ,1.074e-05, 
 , ,5000 , 2500, S, 1, 15, ,1 , 0.337545,1.3485e-05 ,2.4847e-05 ,1.2233e-05, 
 , ,5000 , 2500, S, 1, 15, ,3 , 0.337486,1.4387e-05 ,2.4135e-05 ,1.1752e-05, 
