N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  
 , ,100 , 50, S, 1, 12, ,6 , 0.388672,0.000291015 ,0.00281969 ,0.000363301, 
 , ,100 , 50, S, 1, 12, ,7 , 0.388684,0.000308949 ,0.00282961 ,0.000339297, 
 , ,100 , 50, S, 1, 12, ,8 , 0.388422,0.000319579 ,0.00283954 ,0.000318447, 
 , ,100 , 50, S, 1, 12, ,9 , 0.388448,0.000338144 ,0.00282751 ,0.000311454, 
 , ,100 , 50, S, 1, 12, ,10 , 0.388267,0.000350728 ,0.00281578 ,0.000307016, 
 , ,100 , 50, S, 1, 12, ,0 , 0.388832,0.000359515 ,0.00287826 ,0.000249107, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 2, 3, ,0 , 0.647713,0.000217729 ,0.00568429 ,0.000158428, 
 , ,100 , 50, S, 2, 3, ,1 , 0.648308,0.000152947 ,0.00566528 ,0.000241323, 
 , ,100 , 50, S, 2, 3, ,2 , 0.648035,0.000217548 ,0.00566912 ,0.000173796, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 2, 3, ,0 , 0.647637,0.000221355 ,0.00568997 ,0.000153829, 
 , ,100 , 50, S, 2, 3, ,1 , 0.648054,0.000150613 ,0.00567038 ,0.000244428, 
 , ,100 , 50, S, 2, 3, ,2 , 0.647862,0.000221395 ,0.00566888 ,0.000174999, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 2, 6, ,3 , 0.381097,0.000250991 ,0.0028422 ,0.000274595, 
 , ,100 , 50, S, 2, 6, ,4 , 0.390262,0.000275718 ,0.00283895 ,0.000245721, 
 , ,100 , 50, S, 2, 6, ,5 , 0.390277,0.000435618 ,0.00281965 ,0.000113132, 
 , ,100 , 50, S, 2, 6, ,1 , 0.389903,0.000188233 ,0.0028491 ,0.000326413, 
 , ,100 , 50, S, 2, 6, ,2 , 0.390254,0.000219842 ,0.00283668 ,0.000309571, 
 , ,100 , 50, S, 2, 6, ,0 , 0.390348,0.000315272 ,0.00284513 ,0.000209593, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 2, 6, ,2 , 0.376739,0.000226946 ,0.0028387 ,0.000325311, 
 , ,100 , 50, S, 2, 6, ,3 , 0.387291,0.000260198 ,0.00284115 ,0.000288742, 
 , ,100 , 50, S, 2, 6, ,4 , 0.387342,0.00028786 ,0.00283095 ,0.00026666, 
 , ,100 , 50, S, 2, 6, ,5 , 0.387203,0.000444384 ,0.00282521 ,0.000114034, 
 , ,100 , 50, S, 2, 6, ,1 , 0.377385,0.00019187 ,0.00285111 ,0.000342623, 
 , ,100 , 50, S, 2, 6, ,0 , 0.387521,0.00032491 ,0.00285353 ,0.000209894, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 2, 9, ,4 , 0.296773,0.000270047 ,0.00189136 ,0.000331463, 
 , ,100 , 50, S, 2, 9, ,5 , 0.29675,0.000290796 ,0.00188794 ,0.000314791, 
 , ,100 , 50, S, 2, 9, ,6 , 0.296766,0.000309731 ,0.00189453 ,0.000285476, 
 , ,100 , 50, S, 2, 9, ,7 , 0.29636,0.000332253 ,0.00188717 ,0.000276469, 
 , ,100 , 50, S, 2, 9, ,8 , 0.296836,0.00049566 ,0.00189352 ,0.000102883, 
 , ,100 , 50, S, 2, 9, ,1 , 0.29677,0.000214152 ,0.00188352 ,0.000398979, 
 , ,100 , 50, S, 2, 9, ,2 , 0.29671,0.000235792 ,0.00190458 ,0.000356189, 
 , ,100 , 50, S, 2, 9, ,3 , 0.29684,0.000252985 ,0.00189765 ,0.000341371, 
 , ,100 , 50, S, 2, 9, ,0 , 0.296952,0.000343955 ,0.00191873 ,0.000242054, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 2, 9, ,7 , 0.29807,0.000335289 ,0.00189493 ,0.000267311, 
 , ,100 , 50, S, 2, 9, ,8 , 0.299335,0.000499427 ,0.00188689 ,0.000110788, 
 , ,100 , 50, S, 2, 9, ,1 , 0.299421,0.000216998 ,0.00189177 ,0.000375385, 
 , ,100 , 50, S, 2, 9, ,2 , 0.299355,0.0002346 ,0.00190274 ,0.000355257, 
 , ,100 , 50, S, 2, 9, ,3 , 0.299341,0.000256 ,0.00188608 ,0.000347041, 
 , ,100 , 50, S, 2, 9, ,4 , 0.297809,0.000276329 ,0.00189391 ,0.000327014, 
 , ,100 , 50, S, 2, 9, ,5 , 0.297684,0.000291086 ,0.00188788 ,0.00031433, 
 , ,100 , 50, S, 2, 9, ,6 , 0.297188,0.000317656 ,0.00189288 ,0.000292219, 
 , ,100 , 50, S, 2, 9, ,0 , 0.29947,0.00034107 ,0.00191646 ,0.000235933, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 2, 12, ,6 , 0.245538,0.000295925 ,0.00140881 ,0.000332494, 
 , ,100 , 50, S, 2, 12, ,7 , 0.245932,0.000311074 ,0.00140722 ,0.000317246, 
 , ,100 , 50, S, 2, 12, ,8 , 0.245975,0.000328046 ,0.00141925 ,0.000286117, 
 , ,100 , 50, S, 2, 12, ,9 , 0.246035,0.000344337 ,0.00141118 ,0.000278713, 
 , ,100 , 50, S, 2, 12, ,10 , 0.242834,0.000357401 ,0.00141579 ,0.000259868, 
 , ,100 , 50, S, 2, 12, ,11 , 0.242943,0.000522791 ,0.0014141 ,9.9316e-05, 
 , ,100 , 50, S, 2, 12, ,1 , 0.245928,0.000225393 ,0.00144043 ,0.000371046, 
 , ,100 , 50, S, 2, 12, ,2 , 0.246035,0.00023977 ,0.00143756 ,0.000368231, 
 , ,100 , 50, S, 2, 12, ,3 , 0.24593,0.000244639 ,0.00144205 ,0.000343755, 
 , ,100 , 50, S, 2, 12, ,4 , 0.245934,0.000267892 ,0.00141687 ,0.000348004, 
 , ,100 , 50, S, 2, 12, ,5 , 0.245929,0.000283723 ,0.00141067 ,0.000342323, 
 , ,100 , 50, S, 2, 12, ,0 , 0.246163,0.0003678 ,0.00143265 ,0.000241373, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 2, 12, ,5 , 0.251247,0.000270418 ,0.00141569 ,0.000342113, 
 , ,100 , 50, S, 2, 12, ,6 , 0.250198,0.000297729 ,0.0014148 ,0.000327835, 
 , ,100 , 50, S, 2, 12, ,7 , 0.251849,0.00030368 ,0.0014158 ,0.000306235, 
 , ,100 , 50, S, 2, 12, ,8 , 0.252869,0.000316213 ,0.00141808 ,0.00029862, 
 , ,100 , 50, S, 2, 12, ,9 , 0.252901,0.000333996 ,0.00141395 ,0.000288782, 
 , ,100 , 50, S, 2, 12, ,10 , 0.252884,0.000348254 ,0.00141467 ,0.000269376, 
 , ,100 , 50, S, 2, 12, ,11 , 0.252762,0.000508534 ,0.0014167 ,0.00010687, 
 , ,100 , 50, S, 2, 12, ,1 , 0.252722,0.000223369 ,0.00143408 ,0.000381656, 
 , ,100 , 50, S, 2, 12, ,2 , 0.250024,0.000237065 ,0.00143136 ,0.000373911, 
 , ,100 , 50, S, 2, 12, ,3 , 0.250404,0.000247094 ,0.00143752 ,0.000351901, 
 , ,100 , 50, S, 2, 12, ,4 , 0.249604,0.000262813 ,0.00141395 ,0.000359605, 
 , ,100 , 50, S, 2, 12, ,0 , 0.241,0.000360627 ,0.00144317 ,0.000238017, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 3, ,0 , 0.22909,0.00024001 ,0.0014573 ,0.000143349, 
 , ,100 , 50, S, 8, 3, ,2 , 0.229557,0.000239489 ,0.00143084 ,0.000170099, 
 , ,100 , 50, S, 8, 3, ,1 , 0.229349,0.000162155 ,0.0014481 ,0.000230463, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 3, ,2 , 0.228143,0.000243446 ,0.00143212 ,0.000164268, 
 , ,100 , 50, S, 8, 3, ,0 , 0.227445,0.000243727 ,0.00145258 ,0.00014374, 
 , ,100 , 50, S, 8, 3, ,1 , 0.227913,0.00016011 ,0.00144899 ,0.000229792, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 6, ,0 , 0.168152,0.000233478 ,0.000728266 ,0.000104807, 
 , ,100 , 50, S, 8, 6, ,2 , 0.168204,0.000153869 ,0.000728006 ,0.000183334, 
 , ,100 , 50, S, 8, 6, ,4 , 0.160061,0.000194024 ,0.00072485 ,0.000145272, 
 , ,100 , 50, S, 8, 6, ,1 , 0.168011,0.000163146 ,0.000727345 ,0.000173897, 
 , ,100 , 50, S, 8, 6, ,3 , 0.168011,0.000203953 ,0.000726964 ,0.000134031, 
 , ,100 , 50, S, 8, 6, ,5 , 0.168059,0.000316103 ,0.000728498 ,1.9316e-05, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 6, ,4 , 0.170066,0.00019724 ,0.000724961 ,0.000134492, 
 , ,100 , 50, S, 8, 6, ,2 , 0.17014,0.000155662 ,0.000729729 ,0.000169718, 
 , ,100 , 50, S, 8, 6, ,0 , 0.169721,0.000225883 ,0.000726303 ,0.000103264, 
 , ,100 , 50, S, 8, 6, ,1 , 0.169868,0.000164338 ,0.000726384 ,0.000163246, 
 , ,100 , 50, S, 8, 6, ,3 , 0.16979,0.000206908 ,0.00072483 ,0.000121679, 
 , ,100 , 50, S, 8, 6, ,5 , 0.169919,0.000309821 ,0.000720002 ,2.3955e-05, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 9, ,0 , 0.183984,0.000343564 ,0.000491532 ,0.000283512, 
 , ,100 , 50, S, 8, 9, ,2 , 0.183699,0.000315902 ,0.000482535 ,0.000312727, 
 , ,100 , 50, S, 8, 9, ,4 , 0.182096,0.000353733 ,0.00048536 ,0.000288732, 
 , ,100 , 50, S, 8, 9, ,6 , 0.183762,0.000382848 ,0.000488736 ,0.00025606, 
 , ,100 , 50, S, 8, 9, ,8 , 0.183769,0.000572464 ,0.000485731 ,6.1154e-05, 
 , ,100 , 50, S, 8, 9, ,1 , 0.183545,0.000340339 ,0.000486063 ,0.000293721, 
 , ,100 , 50, S, 8, 9, ,3 , 0.1835,0.000369614 ,0.000493126 ,0.000257383, 
 , ,100 , 50, S, 8, 9, ,5 , 0.183486,0.000398749 ,0.000491783 ,0.000228539, 
 , ,100 , 50, S, 8, 9, ,7 , 0.183575,0.000435477 ,0.000482185 ,0.00020245, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 9, ,2 , 0.199158,0.000335419 ,0.000482415 ,0.000306134, 
 , ,100 , 50, S, 8, 9, ,4 , 0.199162,0.000352541 ,0.000482134 ,0.000278983, 
 , ,100 , 50, S, 8, 9, ,6 , 0.198663,0.000393398 ,0.000484669 ,0.000252083, 
 , ,100 , 50, S, 8, 9, ,8 , 0.199058,0.000580479 ,0.000481723 ,6.0784e-05, 
 , ,100 , 50, S, 8, 9, ,1 , 0.198926,0.000343094 ,0.000481925 ,0.000298561, 
 , ,100 , 50, S, 8, 9, ,0 , 0.199414,0.000349375 ,0.000485761 ,0.000292188, 
 , ,100 , 50, S, 8, 9, ,3 , 0.198908,0.000377869 ,0.000483037 ,0.000262613, 
 , ,100 , 50, S, 8, 9, ,5 , 0.198956,0.00041007 ,0.000481464 ,0.000232577, 
 , ,100 , 50, S, 8, 9, ,7 , 0.198907,0.000441279 ,0.000482245 ,0.000200036, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 12, ,8 , 0.137397,0.000242976 ,0.000363943 ,0.000163827, 
 , ,100 , 50, S, 8, 12, ,10 , 0.137518,0.000272932 ,0.000360546 ,0.000138039, 
 , ,100 , 50, S, 8, 12, ,2 , 0.137349,0.000169728 ,0.000361578 ,0.000235542, 
 , ,100 , 50, S, 8, 12, ,4 , 0.136966,0.00019217 ,0.00036255 ,0.00021316, 
 , ,100 , 50, S, 8, 12, ,6 , 0.137486,0.000216977 ,0.000361108 ,0.000192902, 
 , ,100 , 50, S, 8, 12, ,0 , 0.137586,0.000262833 ,0.000368722 ,0.000149771, 
 , ,100 , 50, S, 8, 12, ,9 , 0.137113,0.000294242 ,0.000365717 ,0.000116419, 
 , ,100 , 50, S, 8, 12, ,11 , 0.137146,0.000395533 ,0.000367139 ,1.4357e-05, 
 , ,100 , 50, S, 8, 12, ,1 , 0.137186,0.000195878 ,0.000366218 ,0.000215174, 
 , ,100 , 50, S, 8, 12, ,3 , 0.137237,0.000217007 ,0.000365837 ,0.000194545, 
 , ,100 , 50, S, 8, 12, ,5 , 0.13722,0.000240762 ,0.00036236 ,0.000173877, 
 , ,100 , 50, S, 8, 12, ,7 , 0.137178,0.000264005 ,0.000366589 ,0.000146124, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 12, ,8 , 0.171632,0.000246543 ,0.000369062 ,0.000164378, 
 , ,100 , 50, S, 8, 12, ,10 , 0.171599,0.00027722 ,0.000360125 ,0.000142858, 
 , ,100 , 50, S, 8, 12, ,2 , 0.171617,0.000178755 ,0.000361668 ,0.000241904, 
 , ,100 , 50, S, 8, 12, ,4 , 0.171471,0.000201608 ,0.000363692 ,0.000216747, 
 , ,100 , 50, S, 8, 12, ,6 , 0.171694,0.000222547 ,0.000359705 ,0.000198693, 
 , ,100 , 50, S, 8, 12, ,0 , 0.171607,0.000264757 ,0.000374041 ,0.000130836, 
 , ,100 , 50, S, 8, 12, ,5 , 0.171421,0.000238788 ,0.000366498 ,0.00017539, 
 , ,100 , 50, S, 8, 12, ,7 , 0.171455,0.000261752 ,0.000366758 ,0.000152697, 
 , ,100 , 50, S, 8, 12, ,9 , 0.171395,0.000298029 ,0.000361268 ,0.000121879, 
 , ,100 , 50, S, 8, 12, ,11 , 0.171456,0.000394881 ,0.000365737 ,2.1059e-05, 
 , ,100 , 50, S, 8, 12, ,1 , 0.171408,0.000196078 ,0.000371257 ,0.000214022, 
 , ,100 , 50, S, 8, 12, ,3 , 0.171423,0.000216997 ,0.000371117 ,0.000193694, 
